Tijd (s);Kracht (N);Verplaatsing (mm)
2,888;-111;-0,455
2,906;-111,5;-0,456
2,923;-111,5;-0,457
2,939;-112,5;-0,458
2,959;-113;-0,459
2,977;-113;-0,46
2,997;-114,5;-0,461
3,016;-115,5;-0,462
3,033;-115,5;-0,462
3,046;-116,5;-0,463
3,06;-117;-0,464
3,076;-117;-0,465
3,093;-118,5;-0,466
3,106;-119,5;-0,467
3,13;-119,5;-0,468
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,311
0;-30;-0,312
0,017;-30;-0,312
0,033;-30;-0,313
0,045;-30;-0,314
0,06;-30,5;-0,314
0,077;-30,5;-0,315
0,089;-30,5;-0,316
0,103;-31;-0,317
0,126;-31;-0,318
0,143;-31;-0,318
0,159;-31;-0,32
0,181;-31,5;-0,32
0,201;-31,5;-0,321
0,215;-32;-0,322
0,229;-32;-0,322
0,243;-32;-0,323
0,256;-32;-0,324
0,275;-32;-0,325
0,29;-32;-0,326
0,303;-32;-0,327
0,323;-32,5;-0,328
0,342;-33;-0,328
0,359;-33;-0,329
0,377;-33;-0,33
0,397;-33,5;-0,331
0,414;-34;-0,332
0,429;-34;-0,333
0,445;-34,5;-0,334
0,464;-35;-0,334
0,478;-35;-0,335
0,491;-35;-0,336
0,505;-35;-0,336
0,519;-36;-0,337
0,532;-36;-0,338
0,544;-36,5;-0,338
0,557;-36,5;-0,339
0,572;-37;-0,34
0,587;-37;-0,34
0,6;-37,5;-0,341
0,615;-37,5;-0,342
0,634;-38,5;-0,343
0,649;-39;-0,344
0,663;-39;-0,344
0,675;-39,5;-0,345
0,688;-39,5;-0,346
0,7;-40;-0,346
0,712;-40;-0,347
0,725;-41,5;-0,347
0,738;-41,5;-0,348
0,754;-41,5;-0,349
0,768;-41,5;-0,35
0,781;-42;-0,35
0,797;-42,5;-0,351
0,814;-42,5;-0,352
0,827;-43;-0,353
0,848;-44;-0,354
0,864;-44;-0,354
0,879;-44;-0,355
0,892;-44;-0,356
0,906;-44,5;-0,356
0,918;-44,5;-0,357
0,933;-45,5;-0,358
0,946;-45,5;-0,358
0,959;-46;-0,359
0,973;-46;-0,36
0,986;-46,5;-0,361
1,001;-46,5;-0,361
1,015;-46,5;-0,362
1,036;-48;-0,363
1,057;-48,5;-0,364
1,078;-48,5;-0,366
1,098;-49;-0,366
1,114;-49,5;-0,367
1,129;-49,5;-0,368
1,146;-50,5;-0,369
1,162;-51;-0,37
1,18;-51;-0,37
1,193;-51,5;-0,371
1,209;-52;-0,372
1,222;-52;-0,372
1,242;-53,5;-0,373
1,258;-54;-0,374
1,274;-54;-0,375
1,297;-54;-0,376
1,31;-54;-0,376
1,323;-55;-0,377
1,336;-55;-0,378
1,354;-56;-0,379
1,369;-56,5;-0,379
1,382;-56,5;-0,38
1,402;-57,5;-0,382
1,424;-58;-0,382
1,437;-59;-0,383
1,459;-59;-0,384
1,477;-60;-0,385
1,493;-60,5;-0,386
1,512;-60,5;-0,387
1,53;-61;-0,388
1,544;-62,5;-0,389
1,564;-63;-0,39
1,581;-63;-0,39
1,593;-64;-0,391
1,608;-64;-0,392
1,622;-65;-0,393
1,642;-65;-0,393
1,656;-66;-0,394
1,673;-67;-0,395
1,693;-67,5;-0,396
1,708;-67,5;-0,396
1,722;-68;-0,398
1,742;-68;-0,398
1,756;-69,5;-0,399
1,768;-70;-0,4
1,788;-70;-0,401
1,809;-70,5;-0,402
1,824;-71,5;-0,402
1,838;-71,5;-0,403
1,851;-73;-0,404
1,869;-73;-0,405
1,887;-73,5;-0,405
1,901;-74,5;-0,406
1,915;-74,5;-0,407
1,928;-75;-0,407
1,942;-75;-0,408
1,956;-76,5;-0,409
1,969;-76,5;-0,41
1,983;-77;-0,41
1,995;-77;-0,411
2,007;-77,5;-0,412
2,027;-78,5;-0,412
2,044;-78,5;-0,413
2,056;-80;-0,414
2,074;-80;-0,415
2,089;-80,5;-0,416
2,105;-81,5;-0,416
2,12;-81,5;-0,418
2,144;-82,5;-0,418
2,162;-84;-0,419
2,175;-84;-0,42
2,187;-84,5;-0,42
2,203;-84,5;-0,421
2,217;-85;-0,422
2,237;-86;-0,424
2,261;-87,5;-0,424
2,277;-87,5;-0,425
2,289;-88,5;-0,425
2,301;-88,5;-0,426
2,318;-89;-0,427
2,334;-89;-0,428
2,355;-89,5;-0,429
2,373;-91,5;-0,43
2,394;-92;-0,431
2,412;-93;-0,432
2,436;-93;-0,433
2,452;-93,5;-0,434
2,466;-95;-0,434
2,479;-95;-0,435
2,494;-96;-0,436
2,507;-96;-0,436
2,52;-96,5;-0,437
2,534;-96,5;-0,438
2,554;-97,5;-0,439
2,57;-99;-0,439
2,582;-99;-0,44
2,599;-99,5;-0,441
2,611;-99,5;-0,442
2,625;-100,5;-0,442
2,642;-100,5;-0,443
2,665;-101,5;-0,444
2,683;-103;-0,445
2,698;-103,5;-0,446
2,711;-103,5;-0,446
2,725;-104,5;-0,447
2,738;-104,5;-0,448
2,75;-105,5;-0,448
2,762;-105,5;-0,449
2,774;-105,5;-0,45
2,788;-107;-0,45
2,804;-107,5;-0,451
2,82;-107,5;-0,452
2,837;-108,5;-0,453
2,854;-109,5;-0,454
2,871;-109,5;-0,454
2,888;-111;-0,455
2,906;-111,5;-0,456
2,923;-111,5;-0,457
2,939;-112,5;-0,458
2,959;-113;-0,459
2,977;-113;-0,46
2,997;-114,5;-0,461
3,016;-115,5;-0,462
3,033;-115,5;-0,462
3,046;-116,5;-0,463
3,06;-117;-0,464
3,076;-117;-0,465
3,093;-118,5;-0,466
3,106;-119,5;-0,467
3,13;-119,5;-0,468
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,311
0;-30;-0,312
0,017;-30;-0,312
0,033;-30;-0,313
0,045;-30;-0,314
0,06;-30,5;-0,314
0,077;-30,5;-0,315
0,089;-30,5;-0,316
0,103;-31;-0,317
0,126;-31;-0,318
0,143;-31;-0,318
0,159;-31;-0,32
0,181;-31,5;-0,32
0,201;-31,5;-0,321
0,215;-32;-0,322
0,229;-32;-0,322
0,243;-32;-0,323
0,256;-32;-0,324
0,275;-32;-0,325
0,29;-32;-0,326
0,303;-32;-0,327
0,323;-32,5;-0,328
0,342;-33;-0,328
0,359;-33;-0,329
0,377;-33;-0,33
0,397;-33,5;-0,331
0,414;-34;-0,332
0,429;-34;-0,333
0,445;-34,5;-0,334
0,464;-35;-0,334
0,478;-35;-0,335
0,491;-35;-0,336
0,505;-35;-0,336
0,519;-36;-0,337
0,532;-36;-0,338
0,544;-36,5;-0,338
0,557;-36,5;-0,339
0,572;-37;-0,34
0,587;-37;-0,34
0,6;-37,5;-0,341
0,615;-37,5;-0,342
0,634;-38,5;-0,343
0,649;-39;-0,344
0,663;-39;-0,344
0,675;-39,5;-0,345
0,688;-39,5;-0,346
0,7;-40;-0,346
0,712;-40;-0,347
0,725;-41,5;-0,347
0,738;-41,5;-0,348
0,754;-41,5;-0,349
0,768;-41,5;-0,35
0,781;-42;-0,35
0,797;-42,5;-0,351
0,814;-42,5;-0,352
0,827;-43;-0,353
0,848;-44;-0,354
0,864;-44;-0,354
0,879;-44;-0,355
0,892;-44;-0,356
0,906;-44,5;-0,356
0,918;-44,5;-0,357
0,933;-45,5;-0,358
0,946;-45,5;-0,358
0,959;-46;-0,359
0,973;-46;-0,36
0,986;-46,5;-0,361
1,001;-46,5;-0,361
1,015;-46,5;-0,362
1,036;-48;-0,363
1,057;-48,5;-0,364
1,078;-48,5;-0,366
1,098;-49;-0,366
1,114;-49,5;-0,367
1,129;-49,5;-0,368
1,146;-50,5;-0,369
1,162;-51;-0,37
1,18;-51;-0,37
1,193;-51,5;-0,371
1,209;-52;-0,372
1,222;-52;-0,372
1,242;-53,5;-0,373
1,258;-54;-0,374
1,274;-54;-0,375
1,297;-54;-0,376
1,31;-54;-0,376
1,323;-55;-0,377
1,336;-55;-0,378
1,354;-56;-0,379
1,369;-56,5;-0,379
1,382;-56,5;-0,38
1,402;-57,5;-0,382
1,424;-58;-0,382
1,437;-59;-0,383
1,459;-59;-0,384
1,477;-60;-0,385
1,493;-60,5;-0,386
1,512;-60,5;-0,387
1,53;-61;-0,388
1,544;-62,5;-0,389
1,564;-63;-0,39
1,581;-63;-0,39
1,593;-64;-0,391
1,608;-64;-0,392
1,622;-65;-0,393
1,642;-65;-0,393
1,656;-66;-0,394
1,673;-67;-0,395
1,693;-67,5;-0,396
1,708;-67,5;-0,396
1,722;-68;-0,398
1,742;-68;-0,398
1,756;-69,5;-0,399
1,768;-70;-0,4
1,788;-70;-0,401
1,809;-70,5;-0,402
1,824;-71,5;-0,402
1,838;-71,5;-0,403
1,851;-73;-0,404
1,869;-73;-0,405
1,887;-73,5;-0,405
1,901;-74,5;-0,406
1,915;-74,5;-0,407
1,928;-75;-0,407
1,942;-75;-0,408
1,956;-76,5;-0,409
1,969;-76,5;-0,41
1,983;-77;-0,41
1,995;-77;-0,411
2,007;-77,5;-0,412
2,027;-78,5;-0,412
2,044;-78,5;-0,413
2,056;-80;-0,414
2,074;-80;-0,415
2,089;-80,5;-0,416
2,105;-81,5;-0,416
2,12;-81,5;-0,418
2,144;-82,5;-0,418
2,162;-84;-0,419
2,175;-84;-0,42
2,187;-84,5;-0,42
2,203;-84,5;-0,421
2,217;-85;-0,422
2,237;-86;-0,424
2,261;-87,5;-0,424
2,277;-87,5;-0,425
2,289;-88,5;-0,425
2,301;-88,5;-0,426
2,318;-89;-0,427
2,334;-89;-0,428
2,355;-89,5;-0,429
2,373;-91,5;-0,43
2,394;-92;-0,431
2,412;-93;-0,432
2,436;-93;-0,433
2,452;-93,5;-0,434
2,466;-95;-0,434
2,479;-95;-0,435
2,494;-96;-0,436
2,507;-96;-0,436
2,52;-96,5;-0,437
2,534;-96,5;-0,438
2,554;-97,5;-0,439
2,57;-99;-0,439
2,582;-99;-0,44
2,599;-99,5;-0,441
2,611;-99,5;-0,442
2,625;-100,5;-0,442
2,642;-100,5;-0,443
2,665;-101,5;-0,444
2,683;-103;-0,445
2,698;-103,5;-0,446
2,711;-103,5;-0,446
2,725;-104,5;-0,447
2,738;-104,5;-0,448
2,75;-105,5;-0,448
2,762;-105,5;-0,449
2,774;-105,5;-0,45
2,788;-107;-0,45
2,804;-107,5;-0,451
2,82;-107,5;-0,452
2,837;-108,5;-0,453
2,854;-109,5;-0,454
2,871;-109,5;-0,454
2,888;-111;-0,455
2,906;-111,5;-0,456
2,923;-111,5;-0,457
2,939;-112,5;-0,458
2,959;-113;-0,459
2,977;-113;-0,46
2,997;-114,5;-0,461
3,016;-115,5;-0,462
3,033;-115,5;-0,462
3,046;-116,5;-0,463
3,06;-117;-0,464
3,076;-117;-0,465
3,093;-118,5;-0,466
3,106;-119,5;-0,467
3,13;-119,5;-0,468
