Tijd (s);Kracht (N);Verplaatsing (mm)
0,429;-34;-0,285
0,446;-34,5;-0,286
0,46;-34,5;-0,287
0,483;-35;-0,288
0,503;-36;-0,289
0,524;-36,5;-0,29
0,54;-36,5;-0,291
0,552;-37;-0,291
0,568;-37;-0,292
0,585;-37,5;-0,293
0,601;-38,5;-0,294
0,615;-38,5;-0,295
0,63;-39;-0,295
0,643;-39;-0,296
0,658;-40;-0,297
0,678;-40;-0,298
0,7;-41,5;-0,299
0,716;-41,5;-0,3
0,734;-42;-0,3
0,748;-42;-0,301
0,764;-42;-0,302
0,782;-42,5;-0,303
0,794;-42,5;-0,304
0,812;-43,5;-0,305
0,834;-44;-0,306
0,849;-44,5;-0,306
0,87;-44,5;-0,307
0,884;-45;-0,308
0,896;-45;-0,308
0,91;-46;-0,31
0,93;-46,5;-0,31
0,95;-46,5;-0,311
0,969;-46,5;-0,312
0,983;-47;-0,313
0,996;-47;-0,313
1,01;-48,5;-0,314
1,024;-48,5;-0,315
1,042;-49;-0,316
1,058;-49;-0,316
1,07;-49,5;-0,317
1,085;-50;-0,318
1,099;-50;-0,318
1,111;-51,5;-0,319
1,124;-51,5;-0,32
1,142;-52;-0,321
1,16;-52;-0,322
1,175;-52,5;-0,322
1,187;-52,5;-0,323
1,2;-53;-0,324
1,219;-54,5;-0,325
1,235;-54,5;-0,326
1,248;-55,5;-0,326
1,263;-55,5;-0,327
1,277;-56,5;-0,328
1,289;-56,5;-0,328
1,302;-57;-0,329
1,315;-58,5;-0,33
1,335;-58,5;-0,331
1,354;-59;-0,332
1,37;-59,5;-0,332
1,383;-59,5;-0,333
1,398;-60,5;-0,334
1,414;-61,5;-0,335
1,436;-61,5;-0,335
1,451;-62,5;-0,336
1,464;-62,5;-0,337
1,483;-63;-0,338
1,499;-63,5;-0,338
1,513;-63,5;-0,339
1,526;-65,5;-0,34
1,538;-65,5;-0,341
1,556;-66;-0,341
1,571;-66;-0,342
1,583;-66,5;-0,342
1,595;-66,5;-0,343
1,609;-67,5;-0,344
1,625;-68,5;-0,345
1,64;-68,5;-0,345
1,652;-69,5;-0,346
1,665;-69,5;-0,347
1,677;-70;-0,347
1,694;-70;-0,348
1,709;-71;-0,349
1,727;-72,5;-0,35
1,746;-72,5;-0,351
1,766;-73;-0,352
1,786;-74;-0,353
1,803;-74;-0,354
1,817;-74,5;-0,355
1,836;-76,5;-0,356
1,854;-77;-0,356
1,868;-77;-0,357
1,882;-78;-0,358
1,902;-78;-0,359
1,92;-78,5;-0,36
1,935;-80,5;-0,36
1,948;-80,5;-0,361
1,962;-81;-0,362
1,976;-81;-0,362
1,988;-82;-0,363
2,003;-82;-0,364
2,017;-82,5;-0,364
2,03;-84,5;-0,365
2,049;-84,5;-0,366
2,063;-85;-0,367
2,078;-85;-0,368
2,096;-85,5;-0,368
2,116;-86,5;-0,369
2,131;-86,5;-0,37
2,152;-88,5;-0,371
2,167;-89;-0,372
2,187;-90;-0,373
2,202;-90;-0,374
2,215;-90,5;-0,375
2,242;-92,5;-0,376
2,255;-92,5;-0,376
2,27;-93;-0,378
2,298;-94;-0,379
2,317;-94,5;-0,38
2,331;-94,5;-0,38
2,352;-96,5;-0,382
2,372;-97,5;-0,382
2,391;-98,5;-0,384
2,411;-98,5;-0,384
2,431;-99;-0,385
2,447;-100,5;-0,386
2,463;-100,5;-0,387
2,479;-101,5;-0,388
2,497;-102;-0,388
2,513;-102;-0,389
2,532;-103;-0,39
2,547;-104,5;-0,391
2,565;-104,5;-0,392
2,58;-105,5;-0,392
2,595;-105,5;-0,393
2,611;-106;-0,394
2,626;-106;-0,395
2,637;-107;-0,396
2,661;-109;-0,396
2,676;-109,5;-0,397
2,689;-109,5;-0,398
2,706;-110,5;-0,399
2,72;-110,5;-0,4
2,743;-111;-0,4
2,755;-113;-0,401
2,768;-113;-0,402
2,78;-113;-0,402
2,794;-113,5;-0,404
2,813;-114,5;-0,404
2,828;-114,5;-0,405
2,843;-116;-0,406
2,868;-117;-0,407
2,883;-117;-0,408
2,898;-118;-0,409
2,917;-118,5;-0,41
2,932;-118,5;-0,41
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,263
0;-30;-0,264
0,02;-30;-0,265
0,04;-30;-0,266
0,056;-30;-0,267
0,069;-30,5;-0,268
0,09;-31;-0,268
0,102;-31;-0,269
0,116;-31;-0,27
0,127;-31;-0,27
0,139;-31;-0,271
0,152;-31;-0,272
0,173;-31;-0,272
0,189;-31,5;-0,273
0,201;-31,5;-0,274
0,213;-31,5;-0,274
0,226;-31,5;-0,275
0,239;-31,5;-0,276
0,252;-31,5;-0,277
0,273;-32;-0,278
0,292;-32,5;-0,279
0,316;-32,5;-0,28
0,332;-32,5;-0,28
0,347;-33;-0,281
0,36;-33;-0,282
0,373;-33;-0,282
0,385;-33;-0,283
0,398;-34;-0,284
0,411;-34;-0,284
0,429;-34;-0,285
0,446;-34,5;-0,286
0,46;-34,5;-0,287
0,483;-35;-0,288
0,503;-36;-0,289
0,524;-36,5;-0,29
0,54;-36,5;-0,291
0,552;-37;-0,291
0,568;-37;-0,292
0,585;-37,5;-0,293
0,601;-38,5;-0,294
0,615;-38,5;-0,295
0,63;-39;-0,295
0,643;-39;-0,296
0,658;-40;-0,297
0,678;-40;-0,298
0,7;-41,5;-0,299
0,716;-41,5;-0,3
0,734;-42;-0,3
0,748;-42;-0,301
0,764;-42;-0,302
0,782;-42,5;-0,303
0,794;-42,5;-0,304
0,812;-43,5;-0,305
0,834;-44;-0,306
0,849;-44,5;-0,306
0,87;-44,5;-0,307
0,884;-45;-0,308
0,896;-45;-0,308
0,91;-46;-0,31
0,93;-46,5;-0,31
0,95;-46,5;-0,311
0,969;-46,5;-0,312
0,983;-47;-0,313
0,996;-47;-0,313
1,01;-48,5;-0,314
1,024;-48,5;-0,315
1,042;-49;-0,316
1,058;-49;-0,316
1,07;-49,5;-0,317
1,085;-50;-0,318
1,099;-50;-0,318
1,111;-51,5;-0,319
1,124;-51,5;-0,32
1,142;-52;-0,321
1,16;-52;-0,322
1,175;-52,5;-0,322
1,187;-52,5;-0,323
1,2;-53;-0,324
1,219;-54,5;-0,325
1,235;-54,5;-0,326
1,248;-55,5;-0,326
1,263;-55,5;-0,327
1,277;-56,5;-0,328
1,289;-56,5;-0,328
1,302;-57;-0,329
1,315;-58,5;-0,33
1,335;-58,5;-0,331
1,354;-59;-0,332
1,37;-59,5;-0,332
1,383;-59,5;-0,333
1,398;-60,5;-0,334
1,414;-61,5;-0,335
1,436;-61,5;-0,335
1,451;-62,5;-0,336
1,464;-62,5;-0,337
1,483;-63;-0,338
1,499;-63,5;-0,338
1,513;-63,5;-0,339
1,526;-65,5;-0,34
1,538;-65,5;-0,341
1,556;-66;-0,341
1,571;-66;-0,342
1,583;-66,5;-0,342
1,595;-66,5;-0,343
1,609;-67,5;-0,344
1,625;-68,5;-0,345
1,64;-68,5;-0,345
1,652;-69,5;-0,346
1,665;-69,5;-0,347
1,677;-70;-0,347
1,694;-70;-0,348
1,709;-71;-0,349
1,727;-72,5;-0,35
1,746;-72,5;-0,351
1,766;-73;-0,352
1,786;-74;-0,353
1,803;-74;-0,354
1,817;-74,5;-0,355
1,836;-76,5;-0,356
1,854;-77;-0,356
1,868;-77;-0,357
1,882;-78;-0,358
1,902;-78;-0,359
1,92;-78,5;-0,36
1,935;-80,5;-0,36
1,948;-80,5;-0,361
1,962;-81;-0,362
1,976;-81;-0,362
1,988;-82;-0,363
2,003;-82;-0,364
2,017;-82,5;-0,364
2,03;-84,5;-0,365
2,049;-84,5;-0,366
2,063;-85;-0,367
2,078;-85;-0,368
2,096;-85,5;-0,368
2,116;-86,5;-0,369
2,131;-86,5;-0,37
2,152;-88,5;-0,371
2,167;-89;-0,372
2,187;-90;-0,373
2,202;-90;-0,374
2,215;-90,5;-0,375
2,242;-92,5;-0,376
2,255;-92,5;-0,376
2,27;-93;-0,378
2,298;-94;-0,379
2,317;-94,5;-0,38
2,331;-94,5;-0,38
2,352;-96,5;-0,382
2,372;-97,5;-0,382
2,391;-98,5;-0,384
2,411;-98,5;-0,384
2,431;-99;-0,385
2,447;-100,5;-0,386
2,463;-100,5;-0,387
2,479;-101,5;-0,388
2,497;-102;-0,388
2,513;-102;-0,389
2,532;-103;-0,39
2,547;-104,5;-0,391
2,565;-104,5;-0,392
2,58;-105,5;-0,392
2,595;-105,5;-0,393
2,611;-106;-0,394
2,626;-106;-0,395
2,637;-107;-0,396
2,661;-109;-0,396
2,676;-109,5;-0,397
2,689;-109,5;-0,398
2,706;-110,5;-0,399
2,72;-110,5;-0,4
2,743;-111;-0,4
2,755;-113;-0,401
2,768;-113;-0,402
2,78;-113;-0,402
2,794;-113,5;-0,404
2,813;-114,5;-0,404
2,828;-114,5;-0,405
2,843;-116;-0,406
2,868;-117;-0,407
2,883;-117;-0,408
2,898;-118;-0,409
2,917;-118,5;-0,41
2,932;-118,5;-0,41
