Tijd (s);Kracht (N);Verplaatsing (mm)
2,773;-106,5;-0,724
2,79;-108;-0,724
2,803;-108;-0,726
2,818;-108,5;-0,726
2,833;-108,5;-0,727
2,847;-109,5;-0,728
2,862;-109,5;-0,728
2,876;-110;-0,729
2,891;-110;-0,73
2,907;-111;-0,73
2,921;-112;-0,731
2,934;-112;-0,732
2,947;-113;-0,733
2,966;-113;-0,734
2,984;-113,5;-0,734
3;-114,5;-0,735
3,021;-115;-0,736
3,037;-115;-0,737
3,049;-116;-0,737
3,064;-116;-0,738
3,078;-116,5;-0,739
3,091;-116,5;-0,74
3,105;-117,5;-0,74
3,117;-117,5;-0,741
3,13;-118,5;-0,742
3,146;-118,5;-0,742
3,158;-119;-0,743
3,171;-119;-0,743
3,185;-119,5;-0,744
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,585
0;-30,5;-0,586
0,018;-30,5;-0,586
0,032;-31,5;-0,587
0,046;-32;-0,588
0,06;-32;-0,588
0,075;-32;-0,589
0,088;-32;-0,59
0,101;-32,5;-0,59
0,114;-32,5;-0,591
0,126;-33,5;-0,592
0,141;-33,5;-0,592
0,156;-34;-0,593
0,172;-34;-0,594
0,188;-34,5;-0,595
0,205;-35;-0,595
0,218;-35;-0,596
0,231;-35,5;-0,597
0,246;-35,5;-0,598
0,26;-36;-0,598
0,279;-36,5;-0,6
0,297;-36,5;-0,6
0,31;-37;-0,601
0,324;-37;-0,601
0,336;-38;-0,602
0,349;-38;-0,603
0,362;-38,5;-0,604
0,381;-38,5;-0,604
0,395;-38,5;-0,605
0,408;-39;-0,606
0,421;-39;-0,606
0,433;-40;-0,607
0,455;-40,5;-0,608
0,472;-40,5;-0,609
0,488;-40,5;-0,61
0,5;-40,5;-0,61
0,512;-41,5;-0,611
0,528;-41,5;-0,612
0,548;-42;-0,613
0,567;-42,5;-0,614
0,58;-42,5;-0,614
0,593;-43;-0,615
0,614;-43,5;-0,616
0,629;-43,5;-0,617
0,642;-44,5;-0,618
0,657;-44,5;-0,618
0,669;-45;-0,619
0,683;-45;-0,62
0,697;-45;-0,62
0,712;-45;-0,621
0,725;-46;-0,621
0,737;-47;-0,622
0,759;-47;-0,623
0,776;-47;-0,624
0,789;-47,5;-0,625
0,805;-47,5;-0,626
0,82;-48;-0,626
0,833;-48;-0,627
0,847;-49;-0,628
0,862;-49,5;-0,629
0,883;-49,5;-0,629
0,897;-50;-0,63
0,911;-50;-0,63
0,925;-50,5;-0,631
0,939;-50,5;-0,632
0,952;-51,5;-0,633
0,965;-51,5;-0,634
0,983;-52;-0,635
1,007;-52,5;-0,636
1,024;-53;-0,636
1,038;-53;-0,637
1,05;-54,5;-0,638
1,066;-54,5;-0,638
1,079;-55;-0,639
1,093;-55;-0,64
1,107;-55,5;-0,641
1,129;-56;-0,642
1,142;-56;-0,643
1,163;-57,5;-0,644
1,179;-58;-0,644
1,192;-58;-0,645
1,205;-58,5;-0,646
1,217;-58,5;-0,646
1,231;-59;-0,647
1,245;-59;-0,648
1,26;-60;-0,648
1,272;-60;-0,649
1,287;-60,5;-0,65
1,308;-61;-0,651
1,329;-61,5;-0,652
1,348;-61,5;-0,653
1,365;-63;-0,653
1,378;-63;-0,654
1,39;-63,5;-0,655
1,405;-64;-0,655
1,418;-64;-0,656
1,431;-64,5;-0,657
1,455;-65,5;-0,658
1,468;-65,5;-0,658
1,483;-66,5;-0,66
1,502;-66,5;-0,66
1,518;-66,5;-0,661
1,533;-67,5;-0,662
1,547;-67,5;-0,662
1,561;-68,5;-0,663
1,572;-68,5;-0,664
1,585;-69;-0,664
1,597;-69;-0,665
1,61;-69,5;-0,666
1,623;-69,5;-0,666
1,635;-70,5;-0,667
1,651;-70,5;-0,668
1,667;-71,5;-0,669
1,684;-72;-0,67
1,698;-72;-0,67
1,715;-73;-0,671
1,732;-73;-0,672
1,749;-73,5;-0,673
1,766;-75;-0,674
1,783;-75;-0,674
1,796;-75,5;-0,675
1,809;-75,5;-0,676
1,83;-75,5;-0,677
1,848;-76,5;-0,678
1,861;-78;-0,678
1,88;-78;-0,679
1,896;-78,5;-0,68
1,909;-78,5;-0,68
1,922;-79;-0,681
1,934;-79;-0,682
1,951;-79,5;-0,683
1,973;-80,5;-0,684
1,994;-81,5;-0,685
2,013;-81,5;-0,686
2,032;-82;-0,687
2,046;-82,5;-0,687
2,059;-82,5;-0,688
2,073;-84;-0,689
2,088;-84;-0,689
2,1;-84,5;-0,69
2,113;-84,5;-0,691
2,126;-85;-0,691
2,139;-85;-0,692
2,151;-85,5;-0,692
2,164;-85,5;-0,693
2,178;-87;-0,694
2,193;-87;-0,695
2,205;-88;-0,696
2,219;-88;-0,696
2,233;-88,5;-0,697
2,248;-88,5;-0,698
2,261;-89,5;-0,698
2,277;-90,5;-0,699
2,295;-90,5;-0,7
2,308;-91,5;-0,7
2,32;-91,5;-0,701
2,333;-92;-0,702
2,35;-93;-0,703
2,365;-93;-0,703
2,378;-94;-0,704
2,392;-94;-0,705
2,405;-94,5;-0,705
2,417;-94,5;-0,706
2,429;-95,5;-0,706
2,442;-95,5;-0,707
2,457;-96;-0,708
2,47;-96;-0,709
2,491;-97,5;-0,71
2,511;-98,5;-0,71
2,523;-98,5;-0,711
2,537;-98,5;-0,712
2,557;-99,5;-0,713
2,576;-99,5;-0,714
2,592;-101;-0,715
2,606;-101,5;-0,715
2,621;-101,5;-0,716
2,634;-102,5;-0,717
2,649;-102,5;-0,717
2,662;-103;-0,718
2,675;-103;-0,719
2,687;-104,5;-0,719
2,699;-104,5;-0,72
2,71;-105;-0,721
2,725;-105;-0,721
2,738;-106;-0,722
2,752;-106;-0,723
2,773;-106,5;-0,724
2,79;-108;-0,724
2,803;-108;-0,726
2,818;-108,5;-0,726
2,833;-108,5;-0,727
2,847;-109,5;-0,728
2,862;-109,5;-0,728
2,876;-110;-0,729
2,891;-110;-0,73
2,907;-111;-0,73
2,921;-112;-0,731
2,934;-112;-0,732
2,947;-113;-0,733
2,966;-113;-0,734
2,984;-113,5;-0,734
3;-114,5;-0,735
3,021;-115;-0,736
3,037;-115;-0,737
3,049;-116;-0,737
3,064;-116;-0,738
3,078;-116,5;-0,739
3,091;-116,5;-0,74
3,105;-117,5;-0,74
3,117;-117,5;-0,741
3,13;-118,5;-0,742
3,146;-118,5;-0,742
3,158;-119;-0,743
3,171;-119;-0,743
3,185;-119,5;-0,744
Tijd (s),Kracht (N),Verplaatsing (mm)
0;-30;-0,585
0;-30,5;-0,586
0,018;-30,5;-0,586
0,032;-31,5;-0,587
0,046;-32;-0,588
0,06;-32;-0,588
0,075;-32;-0,589
0,088;-32;-0,59
0,101;-32,5;-0,59
0,114;-32,5;-0,591
0,126;-33,5;-0,592
0,141;-33,5;-0,592
0,156;-34;-0,593
0,172;-34;-0,594
0,188;-34,5;-0,595
0,205;-35;-0,595
0,218;-35;-0,596
0,231;-35,5;-0,597
0,246;-35,5;-0,598
0,26;-36;-0,598
0,279;-36,5;-0,6
0,297;-36,5;-0,6
0,31;-37;-0,601
0,324;-37;-0,601
0,336;-38;-0,602
0,349;-38;-0,603
0,362;-38,5;-0,604
0,381;-38,5;-0,604
0,395;-38,5;-0,605
0,408;-39;-0,606
0,421;-39;-0,606
0,433;-40;-0,607
0,455;-40,5;-0,608
0,472;-40,5;-0,609
0,488;-40,5;-0,61
0,5;-40,5;-0,61
0,512;-41,5;-0,611
0,528;-41,5;-0,612
0,548;-42;-0,613
0,567;-42,5;-0,614
0,58;-42,5;-0,614
0,593;-43;-0,615
0,614;-43,5;-0,616
0,629;-43,5;-0,617
0,642;-44,5;-0,618
0,657;-44,5;-0,618
0,669;-45;-0,619
0,683;-45;-0,62
0,697;-45;-0,62
0,712;-45;-0,621
0,725;-46;-0,621
0,737;-47;-0,622
0,759;-47;-0,623
0,776;-47;-0,624
0,789;-47,5;-0,625
0,805;-47,5;-0,626
0,82;-48;-0,626
0,833;-48;-0,627
0,847;-49;-0,628
0,862;-49,5;-0,629
0,883;-49,5;-0,629
0,897;-50;-0,63
0,911;-50;-0,63
0,925;-50,5;-0,631
0,939;-50,5;-0,632
0,952;-51,5;-0,633
0,965;-51,5;-0,634
0,983;-52;-0,635
1,007;-52,5;-0,636
1,024;-53;-0,636
1,038;-53;-0,637
1,05;-54,5;-0,638
1,066;-54,5;-0,638
1,079;-55;-0,639
1,093;-55;-0,64
1,107;-55,5;-0,641
1,129;-56;-0,642
1,142;-56;-0,643
1,163;-57,5;-0,644
1,179;-58;-0,644
1,192;-58;-0,645
1,205;-58,5;-0,646
1,217;-58,5;-0,646
1,231;-59;-0,647
1,245;-59;-0,648
1,26;-60;-0,648
1,272;-60;-0,649
1,287;-60,5;-0,65
1,308;-61;-0,651
1,329;-61,5;-0,652
1,348;-61,5;-0,653
1,365;-63;-0,653
1,378;-63;-0,654
1,39;-63,5;-0,655
1,405;-64;-0,655
1,418;-64;-0,656
1,431;-64,5;-0,657
1,455;-65,5;-0,658
1,468;-65,5;-0,658
1,483;-66,5;-0,66
1,502;-66,5;-0,66
1,518;-66,5;-0,661
1,533;-67,5;-0,662
1,547;-67,5;-0,662
1,561;-68,5;-0,663
1,572;-68,5;-0,664
1,585;-69;-0,664
1,597;-69;-0,665
1,61;-69,5;-0,666
1,623;-69,5;-0,666
1,635;-70,5;-0,667
1,651;-70,5;-0,668
1,667;-71,5;-0,669
1,684;-72;-0,67
1,698;-72;-0,67
1,715;-73;-0,671
1,732;-73;-0,672
1,749;-73,5;-0,673
1,766;-75;-0,674
1,783;-75;-0,674
1,796;-75,5;-0,675
1,809;-75,5;-0,676
1,83;-75,5;-0,677
1,848;-76,5;-0,678
1,861;-78;-0,678
1,88;-78;-0,679
1,896;-78,5;-0,68
1,909;-78,5;-0,68
1,922;-79;-0,681
1,934;-79;-0,682
1,951;-79,5;-0,683
1,973;-80,5;-0,684
1,994;-81,5;-0,685
2,013;-81,5;-0,686
2,032;-82;-0,687
2,046;-82,5;-0,687
2,059;-82,5;-0,688
2,073;-84;-0,689
2,088;-84;-0,689
2,1;-84,5;-0,69
2,113;-84,5;-0,691
2,126;-85;-0,691
2,139;-85;-0,692
2,151;-85,5;-0,692
2,164;-85,5;-0,693
2,178;-87;-0,694
2,193;-87;-0,695
2,205;-88;-0,696
2,219;-88;-0,696
2,233;-88,5;-0,697
2,248;-88,5;-0,698
2,261;-89,5;-0,698
2,277;-90,5;-0,699
2,295;-90,5;-0,7
2,308;-91,5;-0,7
2,32;-91,5;-0,701
2,333;-92;-0,702
2,35;-93;-0,703
2,365;-93;-0,703
2,378;-94;-0,704
2,392;-94;-0,705
2,405;-94,5;-0,705
2,417;-94,5;-0,706
2,429;-95,5;-0,706
2,442;-95,5;-0,707
2,457;-96;-0,708
2,47;-96;-0,709
2,491;-97,5;-0,71
2,511;-98,5;-0,71
2,523;-98,5;-0,711
2,537;-98,5;-0,712
2,557;-99,5;-0,713
2,576;-99,5;-0,714
2,592;-101;-0,715
2,606;-101,5;-0,715
2,621;-101,5;-0,716
2,634;-102,5;-0,717
2,649;-102,5;-0,717
2,662;-103;-0,718
2,675;-103;-0,719
2,687;-104,5;-0,719
2,699;-104,5;-0,72
2,71;-105;-0,721
2,725;-105;-0,721
2,738;-106;-0,722
2,752;-106;-0,723
2,773;-106,5;-0,724
2,79;-108;-0,724
2,803;-108;-0,726
2,818;-108,5;-0,726
2,833;-108,5;-0,727
2,847;-109,5;-0,728
2,862;-109,5;-0,728
2,876;-110;-0,729
2,891;-110;-0,73
2,907;-111;-0,73
2,921;-112;-0,731
2,934;-112;-0,732
2,947;-113;-0,733
2,966;-113;-0,734
2,984;-113,5;-0,734
3;-114,5;-0,735
3,021;-115;-0,736
3,037;-115;-0,737
3,049;-116;-0,737
3,064;-116;-0,738
3,078;-116,5;-0,739
3,091;-116,5;-0,74
3,105;-117,5;-0,74
3,117;-117,5;-0,741
3,13;-118,5;-0,742
3,146;-118,5;-0,742
3,158;-119;-0,743
3,171;-119;-0,743
3,185;-119,5;-0,744
