Tijd (s)	Kracht (N)	Verplaatsing (mm)
2,024	-63	-0,683
2,037	-64	-0,684
2,049	-64	-0,685
2,063	-64,5	-0,686
2,079	-64,5	-0,686
2,099	-64,5	-0,687
2,112	-65	-0,688
2,124	-65	-0,688
2,137	-65,5	-0,689
2,151	-65,5	-0,69
2,164	-66	-0,69
2,176	-66	-0,691
2,189	-66,5	-0,692
2,202	-66,5	-0,692
2,216	-66,5	-0,693
2,233	-67	-0,694
2,25	-67	-0,694
2,263	-67,5	-0,695
2,275	-67,5	-0,696
2,288	-67,5	-0,696
2,302	-67,5	-0,697
2,317	-68	-0,698
2,336	-68,5	-0,699
2,349	-68,5	-0,7
2,366	-69	-0,7
2,379	-69	-0,701
2,391	-69	-0,702
2,404	-69	-0,702
2,415	-69,5	-0,703
2,43	-69,5	-0,704
2,444	-70	-0,704
2,457	-70	-0,705
2,471	-70,5	-0,706
2,485	-70,5	-0,706
2,5	-70,5	-0,707
2,513	-70,5	-0,708
2,524	-70,5	-0,708
2,538	-71	-0,709
2,552	-71	-0,71
2,564	-71,5	-0,71
2,578	-71,5	-0,711
2,596	-71,5	-0,712
2,611	-71,5	-0,713
2,626	-72	-0,714
2,64	-72,5	-0,714
2,653	-72,5	-0,715
2,665	-72,5	-0,716
2,679	-72,5	-0,716
2,692	-73	-0,717
2,706	-73	-0,718
2,719	-73	-0,718
2,736	-73	-0,719
2,756	-74	-0,72
2,772	-74	-0,721
2,79	-74,5	-0,722
2,809	-74,5	-0,723
2,826	-74,5	-0,724
2,842	-75	-0,725
2,864	-75	-0,725
2,879	-75,5	-0,726
2,891	-75,5	-0,727
2,905	-76	-0,727
2,918	-76	-0,728
2,932	-76	-0,729
2,947	-76,5	-0,73
2,961	-76,5	-0,73
2,973	-76,5	-0,731
2,988	-76,5	-0,732
3,007	-77	-0,733
3,025	-77	-0,734
3,04	-77	-0,734
3,059	-77,5	-0,735
3,075	-78	-0,736
3,091	-78	-0,737
3,107	-78,5	-0,738
3,131	-79	-0,739
3,151	-79,5	-0,74
3,167	-79,5	-0,741
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,582
0	-30	-0,582
0,017	-30	-0,583
0,036	-30	-0,584
0,053	-30,5	-0,585
0,07	-30,5	-0,586
0,083	-31	-0,586
0,095	-31	-0,587
0,107	-31,5	-0,588
0,12	-31,5	-0,588
0,135	-31,5	-0,589
0,148	-31,5	-0,59
0,163	-32	-0,59
0,178	-32	-0,591
0,191	-32,5	-0,592
0,203	-32,5	-0,592
0,215	-32,5	-0,593
0,234	-33	-0,594
0,247	-33	-0,594
0,259	-33	-0,595
0,272	-33	-0,596
0,288	-33,5	-0,597
0,304	-33,5	-0,598
0,318	-34	-0,598
0,332	-34	-0,599
0,346	-34	-0,6
0,358	-34	-0,6
0,371	-34,5	-0,601
0,383	-34,5	-0,602
0,395	-35	-0,602
0,408	-35	-0,603
0,421	-35,5	-0,603
0,434	-35,5	-0,604
0,451	-35,5	-0,605
0,464	-36	-0,606
0,476	-36	-0,606
0,489	-36,5	-0,607
0,502	-36,5	-0,608
0,516	-37	-0,608
0,53	-37	-0,609
0,546	-37,5	-0,61
0,562	-37,5	-0,61
0,574	-37,5	-0,611
0,589	-38	-0,612
0,603	-38	-0,612
0,616	-38,5	-0,613
0,628	-38,5	-0,614
0,641	-39	-0,614
0,654	-39	-0,615
0,669	-39	-0,616
0,681	-39	-0,616
0,694	-40	-0,617
0,707	-40	-0,618
0,721	-40	-0,618
0,735	-40	-0,619
0,748	-40,5	-0,619
0,76	-40,5	-0,62
0,773	-41	-0,621
0,786	-41	-0,621
0,8	-41,5	-0,622
0,814	-41,5	-0,623
0,83	-42	-0,624
0,843	-42	-0,624
0,858	-42,5	-0,625
0,874	-42,5	-0,626
0,887	-42,5	-0,627
0,901	-43	-0,627
0,914	-43	-0,628
0,926	-43,5	-0,629
0,942	-43,5	-0,629
0,955	-44	-0,63
0,97	-44	-0,631
0,982	-44,5	-0,632
0,998	-44,5	-0,632
1,011	-45	-0,633
1,023	-45	-0,633
1,035	-45,5	-0,634
1,049	-45,5	-0,635
1,062	-46	-0,636
1,08	-46,5	-0,636
1,096	-46,5	-0,637
1,108	-47	-0,638
1,121	-47	-0,638
1,135	-47,5	-0,639
1,149	-47,5	-0,64
1,161	-48	-0,64
1,173	-48	-0,641
1,186	-48	-0,642
1,2	-48	-0,642
1,212	-49	-0,643
1,228	-49,5	-0,644
1,243	-49,5	-0,644
1,257	-50	-0,645
1,27	-50	-0,646
1,284	-50,5	-0,646
1,299	-50,5	-0,647
1,312	-51	-0,648
1,328	-51	-0,649
1,346	-51,5	-0,65
1,359	-51,5	-0,65
1,371	-51,5	-0,651
1,384	-51,5	-0,651
1,398	-52,5	-0,652
1,41	-53	-0,653
1,422	-53	-0,653
1,437	-53,5	-0,654
1,453	-53,5	-0,655
1,467	-54	-0,656
1,481	-54	-0,656
1,494	-54,5	-0,657
1,509	-54,5	-0,658
1,522	-55	-0,658
1,537	-55,5	-0,659
1,551	-55,5	-0,66
1,565	-56	-0,661
1,584	-56	-0,662
1,598	-56,5	-0,662
1,612	-56,5	-0,663
1,625	-57	-0,664
1,638	-57	-0,664
1,651	-57,5	-0,665
1,664	-57,5	-0,665
1,678	-58	-0,666
1,691	-58	-0,667
1,706	-58	-0,667
1,719	-59	-0,668
1,733	-59	-0,669
1,745	-59	-0,669
1,758	-59	-0,67
1,771	-59,5	-0,671
1,785	-59,5	-0,671
1,798	-60	-0,672
1,812	-60	-0,673
1,83	-60,5	-0,674
1,846	-61	-0,674
1,859	-61	-0,675
1,872	-61,5	-0,676
1,886	-61,5	-0,676
1,901	-61,5	-0,677
1,916	-61,5	-0,678
1,929	-62,5	-0,679
1,945	-62,5	-0,68
1,959	-62,5	-0,68
1,973	-63	-0,681
1,986	-63	-0,682
2	-63	-0,682
2,012	-63	-0,683
2,024	-63	-0,683
2,037	-64	-0,684
2,049	-64	-0,685
2,063	-64,5	-0,686
2,079	-64,5	-0,686
2,099	-64,5	-0,687
2,112	-65	-0,688
2,124	-65	-0,688
2,137	-65,5	-0,689
2,151	-65,5	-0,69
2,164	-66	-0,69
2,176	-66	-0,691
2,189	-66,5	-0,692
2,202	-66,5	-0,692
2,216	-66,5	-0,693
2,233	-67	-0,694
2,25	-67	-0,694
2,263	-67,5	-0,695
2,275	-67,5	-0,696
2,288	-67,5	-0,696
2,302	-67,5	-0,697
2,317	-68	-0,698
2,336	-68,5	-0,699
2,349	-68,5	-0,7
2,366	-69	-0,7
2,379	-69	-0,701
2,391	-69	-0,702
2,404	-69	-0,702
2,415	-69,5	-0,703
2,43	-69,5	-0,704
2,444	-70	-0,704
2,457	-70	-0,705
2,471	-70,5	-0,706
2,485	-70,5	-0,706
2,5	-70,5	-0,707
2,513	-70,5	-0,708
2,524	-70,5	-0,708
2,538	-71	-0,709
2,552	-71	-0,71
2,564	-71,5	-0,71
2,578	-71,5	-0,711
2,596	-71,5	-0,712
2,611	-71,5	-0,713
2,626	-72	-0,714
2,64	-72,5	-0,714
2,653	-72,5	-0,715
2,665	-72,5	-0,716
2,679	-72,5	-0,716
2,692	-73	-0,717
2,706	-73	-0,718
2,719	-73	-0,718
2,736	-73	-0,719
2,756	-74	-0,72
2,772	-74	-0,721
2,79	-74,5	-0,722
2,809	-74,5	-0,723
2,826	-74,5	-0,724
2,842	-75	-0,725
2,864	-75	-0,725
2,879	-75,5	-0,726
2,891	-75,5	-0,727
2,905	-76	-0,727
2,918	-76	-0,728
2,932	-76	-0,729
2,947	-76,5	-0,73
2,961	-76,5	-0,73
2,973	-76,5	-0,731
2,988	-76,5	-0,732
3,007	-77	-0,733
3,025	-77	-0,734
3,04	-77	-0,734
3,059	-77,5	-0,735
3,075	-78	-0,736
3,091	-78	-0,737
3,107	-78,5	-0,738
3,131	-79	-0,739
3,151	-79,5	-0,74
3,167	-79,5	-0,741
