Tijd (s)	Kracht (N)	Verplaatsing (mm)
0,365	-38	-0,495
0,383	-38	-0,497
0,408	-39	-0,498
0,423	-39,5	-0,498
0,437	-40	-0,499
0,458	-40	-0,5
0,474	-40	-0,501
0,494	-41	-0,502
0,513	-41	-0,503
0,531	-41,5	-0,503
0,546	-42	-0,504
0,56	-42	-0,505
0,578	-42	-0,506
0,594	-42	-0,507
0,606	-43	-0,507
0,623	-43,5	-0,508
0,636	-43,5	-0,509
0,653	-44	-0,51
0,671	-44	-0,51
0,683	-44	-0,511
0,697	-45	-0,512
0,71	-45	-0,513
0,727	-45,5	-0,514
0,744	-45,5	-0,514
0,756	-46	-0,515
0,768	-46	-0,516
0,782	-46	-0,516
0,797	-46	-0,517
0,809	-47	-0,518
0,822	-47	-0,518
0,839	-47,5	-0,519
0,855	-48	-0,52
0,873	-48	-0,521
0,893	-48	-0,522
0,914	-49	-0,523
0,934	-49,5	-0,524
0,951	-49,5	-0,524
0,965	-50	-0,525
0,98	-50	-0,526
0,993	-50,5	-0,527
1,015	-51	-0,528
1,035	-51,5	-0,529
1,05	-51,5	-0,53
1,069	-51,5	-0,531
1,093	-52	-0,532
1,112	-53	-0,532
1,13	-53	-0,534
1,15	-53,5	-0,535
1,17	-54	-0,535
1,185	-54	-0,536
1,198	-54,5	-0,537
1,216	-55,5	-0,538
1,232	-55,5	-0,538
1,244	-56	-0,539
1,261	-56,5	-0,54
1,28	-56,5	-0,541
1,293	-57	-0,542
1,306	-57	-0,542
1,319	-58	-0,543
1,334	-58	-0,544
1,348	-58,5	-0,544
1,366	-58,5	-0,546
1,387	-58,5	-0,546
1,404	-59	-0,547
1,421	-60,5	-0,548
1,434	-60,5	-0,549
1,454	-60,5	-0,55
1,477	-61	-0,551
1,495	-61,5	-0,552
1,517	-61,5	-0,553
1,532	-62,5	-0,553
1,546	-63	-0,554
1,559	-63	-0,555
1,58	-63,5	-0,556
1,604	-64	-0,557
1,619	-64	-0,558
1,633	-65	-0,558
1,652	-65,5	-0,56
1,668	-65,5	-0,56
1,682	-66	-0,561
1,695	-66	-0,562
1,712	-66,5	-0,563
1,73	-67,5	-0,563
1,743	-67,5	-0,564
1,757	-68	-0,565
1,775	-68,5	-0,566
1,797	-68,5	-0,567
1,816	-69	-0,568
1,838	-70	-0,569
1,853	-70,5	-0,57
1,87	-70,5	-0,57
1,885	-71	-0,571
1,898	-71	-0,572
1,916	-71	-0,573
1,935	-72,5	-0,574
1,956	-73	-0,575
1,974	-73	-0,576
1,989	-73	-0,576
2,009	-73,5	-0,577
2,023	-73,5	-0,578
2,04	-74,5	-0,579
2,057	-75	-0,58
2,071	-75	-0,58
2,087	-75,5	-0,581
2,103	-75,5	-0,582
2,122	-76	-0,583
2,138	-77	-0,584
2,156	-77	-0,585
2,175	-77	-0,586
2,194	-77,5	-0,587
2,214	-78	-0,588
2,232	-78	-0,589
2,252	-79	-0,59
2,271	-79,5	-0,59
2,287	-79,5	-0,591
