Tijd (s)	Kracht (N)	Verplaatsing (mm)
0,483	-41,5	-0,671
0,499	-41,5	-0,672
0,516	-41,5	-0,672
0,53	-42	-0,673
0,542	-42	-0,674
0,558	-42,5	-0,674
0,571	-43,5	-0,675
0,583	-43,5	-0,676
0,601	-44	-0,676
0,614	-44	-0,677
0,626	-44,5	-0,678
0,64	-44,5	-0,679
0,654	-45	-0,679
0,67	-45	-0,681
0,698	-46,5	-0,682
0,711	-46,5	-0,682
0,729	-47	-0,684
0,75	-47,5	-0,684
0,767	-47,5	-0,685
0,782	-48	-0,686
0,795	-48	-0,686
0,812	-48,5	-0,687
0,832	-49	-0,688
0,85	-49	-0,689
0,865	-49,5	-0,69
0,881	-50,5	-0,69
0,893	-50,5	-0,691
0,907	-51	-0,692
0,924	-51	-0,693
0,942	-51	-0,694
0,956	-51,5	-0,694
0,969	-51,5	-0,695
0,981	-52,5	-0,696
0,994	-52,5	-0,696
1,008	-53	-0,697
1,022	-53	-0,698
1,038	-53,5	-0,699
1,059	-53,5	-0,7
1,074	-53,5	-0,7
1,089	-55,5	-0,701
1,102	-55,5	-0,702
1,118	-55,5	-0,703
1,136	-56,5	-0,703
1,15	-56,5	-0,704
1,167	-56,5	-0,705
1,185	-58	-0,706
1,201	-58	-0,708
1,232	-58,5	-0,708
1,247	-59	-0,709
1,267	-59,5	-0,71
1,29	-60,5	-0,711
1,304	-60,5	-0,712
1,323	-61	-0,713
1,343	-61,5	-0,714
1,358	-61,5	-0,714
1,373	-62	-0,715
1,388	-62	-0,716
1,4	-63	-0,716
1,411	-63	-0,717
1,425	-63,5	-0,718
1,44	-63,5	-0,718
1,457	-64	-0,719
1,473	-64,5	-0,72
1,489	-64,5	-0,721
1,507	-65,5	-0,722
1,52	-66	-0,722
1,536	-66	-0,723
1,548	-66,5	-0,724
1,563	-66,5	-0,725
1,577	-67	-0,725
1,589	-67	-0,726
1,602	-68,5	-0,726
1,617	-68,5	-0,727
1,629	-69	-0,728
1,643	-69	-0,729
1,659	-69,5	-0,73
1,679	-70	-0,73
1,696	-71	-0,732
1,717	-71	-0,732
1,731	-72	-0,734
1,753	-72	-0,734
1,774	-72	-0,735
1,788	-72,5	-0,736
1,805	-74	-0,737
1,82	-74	-0,738
1,833	-74,5	-0,738
1,848	-74,5	-0,739
1,861	-75	-0,74
1,873	-75	-0,74
1,887	-75,5	-0,741
1,901	-75,5	-0,742
1,914	-77	-0,742
1,929	-77,5	-0,743
1,942	-77,5	-0,744
1,957	-78	-0,744
1,974	-78	-0,745
1,989	-78,5	-0,746
2,002	-78,5	-0,746
2,014	-79,5	-0,747
2,026	-79,5	-0,748
