Tijd (s)	Kracht (N)	Verplaatsing (mm)
0,814	-45	-0,44
0,829	-45	-0,441
0,845	-45	-0,442
0,864	-45,5	-0,443
0,887	-46,5	-0,444
0,901	-46,5	-0,445
0,922	-47,5	-0,446
0,939	-48	-0,446
0,953	-48	-0,447
0,968	-48	-0,448
0,989	-49,5	-0,45
1,01	-50	-0,45
1,029	-50	-0,451
1,042	-50,5	-0,452
1,056	-50,5	-0,452
1,069	-51	-0,453
1,082	-51	-0,454
1,095	-52	-0,454
1,107	-52	-0,455
1,12	-52,5	-0,456
1,134	-53	-0,457
1,153	-53	-0,458
1,169	-53,5	-0,458
1,187	-54,5	-0,459
1,203	-54,5	-0,46
1,225	-55	-0,461
1,242	-55,5	-0,462
1,255	-55,5	-0,462
1,272	-56	-0,463
1,287	-56	-0,464
1,301	-57	-0,465
1,315	-57,5	-0,465
1,328	-57,5	-0,466
1,346	-58	-0,467
1,364	-58	-0,468
1,379	-58,5	-0,468
1,393	-59,5	-0,469
1,407	-59,5	-0,47
1,422	-60,5	-0,471
1,435	-60,5	-0,471
1,448	-61	-0,472
1,46	-61	-0,472
1,473	-61,5	-0,473
1,489	-61,5	-0,474
1,504	-62	-0,475
1,517	-62	-0,476
1,53	-63	-0,476
1,547	-63,5	-0,477
1,566	-63,5	-0,478
1,582	-64	-0,479
1,596	-64	-0,479
1,608	-65	-0,48
1,631	-65,5	-0,481
1,647	-66,5	-0,482
1,662	-66,5	-0,483
1,674	-66,5	-0,484
1,689	-66,5	-0,484
1,701	-68	-0,485
1,714	-68	-0,486
1,728	-68,5	-0,486
1,744	-68,5	-0,487
1,762	-69	-0,488
1,78	-69,5	-0,489
1,795	-69,5	-0,489
1,808	-70,5	-0,49
1,83	-71	-0,491
1,844	-71	-0,492
1,861	-71,5	-0,492
1,875	-71,5	-0,493
1,889	-72	-0,494
1,902	-72	-0,495
1,919	-73	-0,496
1,94	-73,5	-0,497
1,959	-74	-0,498
1,977	-74	-0,498
1,989	-75	-0,499
2,002	-75	-0,5
2,016	-76	-0,5
2,035	-76,5	-0,501
2,054	-77	-0,502
2,075	-77	-0,503
2,089	-77,5	-0,504
2,104	-77,5	-0,505
2,119	-78,5	-0,505
2,132	-78,5	-0,506
2,145	-79	-0,507
