Tijd (s)	Kracht (N)	Verplaatsing (mm)
1,928	-75,5	-0,412
1,942	-75,5	-0,413
1,955	-76,5	-0,414
1,968	-76,5	-0,414
1,985	-77	-0,415
2	-77	-0,416
2,014	-77	-0,416
2,028	-77	-0,417
2,041	-78	-0,418
2,052	-79	-0,418
2,067	-79	-0,419
2,081	-79,5	-0,42
2,094	-79,5	-0,42
Tijd (s)	Kracht (N)	Verplaatsing (mm)
0	-30	-0,315
0	-30	-0,316
0,014	-30,5	-0,317
0,028	-30,5	-0,318
0,044	-31	-0,318
0,061	-31,5	-0,319
0,074	-31,5	-0,32
0,087	-32	-0,32
0,099	-32	-0,321
0,111	-33	-0,322
0,125	-33	-0,322
0,137	-33,5	-0,323
0,154	-33,5	-0,324
0,167	-34	-0,325
0,186	-34,5	-0,326
0,202	-34,5	-0,326
0,215	-35	-0,327
0,229	-35	-0,328
0,243	-35,5	-0,328
0,255	-35,5	-0,329
0,268	-36	-0,329
0,281	-36	-0,33
0,294	-36,5	-0,331
0,308	-36,5	-0,331
0,319	-37,5	-0,332
0,333	-37,5	-0,332
0,346	-38	-0,333
0,359	-38	-0,334
0,371	-38	-0,334
0,384	-38	-0,335
0,4	-38,5	-0,336
0,417	-39,5	-0,337
0,431	-39,5	-0,338
0,444	-40	-0,338
0,458	-40	-0,339
0,472	-40	-0,34
0,486	-40	-0,34
0,499	-40,5	-0,341
0,516	-41,5	-0,342
0,533	-41,5	-0,343
0,548	-42	-0,344
0,566	-42,5	-0,344
0,583	-42,5	-0,345
0,596	-43	-0,346
0,608	-43	-0,346
0,62	-43,5	-0,347
0,633	-43,5	-0,348
0,647	-44	-0,348
0,661	-44	-0,349
0,673	-44,5	-0,35
0,686	-44,5	-0,35
0,698	-45	-0,351
0,712	-45	-0,352
0,726	-46	-0,352
0,739	-46	-0,353
0,753	-46,5	-0,354
0,77	-46,5	-0,354
0,782	-47	-0,355
0,796	-47	-0,356
0,809	-47,5	-0,357
0,827	-48,5	-0,358
0,849	-49	-0,358
0,866	-49	-0,36
0,885	-49	-0,36
0,906	-49,5	-0,361
0,919	-49,5	-0,362
0,931	-50,5	-0,362
0,943	-50,5	-0,363
0,957	-51	-0,364
0,97	-51	-0,364
0,984	-52	-0,365
0,999	-52	-0,366
1,016	-52,5	-0,367
1,034	-53	-0,368
1,047	-53	-0,368
1,06	-54	-0,369
1,075	-54	-0,37
1,086	-54,5	-0,37
1,099	-54,5	-0,371
1,112	-55	-0,372
1,127	-55	-0,372
1,141	-56	-0,373
1,153	-56	-0,374
1,165	-56,5	-0,374
1,177	-56,5	-0,375
1,19	-57	-0,376
1,207	-58	-0,376
1,222	-58	-0,377
1,236	-59	-0,378
1,249	-59	-0,378
1,263	-59,5	-0,379
1,28	-59,5	-0,38
1,294	-60	-0,381
1,308	-60	-0,381
1,32	-60,5	-0,382
1,332	-60,5	-0,383
1,347	-61,5	-0,383
1,361	-62	-0,384
1,374	-62	-0,385
1,387	-62	-0,385
1,399	-62,5	-0,386
1,412	-62,5	-0,386
1,424	-63	-0,387
1,436	-63	-0,388
1,449	-64	-0,388
1,463	-64	-0,389
1,477	-64,5	-0,39
1,491	-64,5	-0,39
1,503	-64,5	-0,391
1,516	-65,5	-0,392
1,534	-65,5	-0,393
1,549	-66,5	-0,393
1,562	-66,5	-0,394
1,575	-67	-0,395
1,587	-67	-0,396
1,604	-67	-0,396
1,619	-68	-0,397
1,632	-68	-0,398
1,644	-69	-0,398
1,658	-69	-0,399
1,672	-69,5	-0,4
1,684	-69,5	-0,4
1,697	-70	-0,401
1,709	-70	-0,402
1,723	-70,5	-0,402
1,736	-70,5	-0,403
1,755	-71,5	-0,404
1,774	-72	-0,405
1,794	-72	-0,406
1,809	-72	-0,406
1,822	-72	-0,408
1,841	-73	-0,408
1,857	-74	-0,409
1,869	-74	-0,41
1,883	-74,5	-0,41
1,899	-75	-0,411
1,913	-75	-0,412
1,928	-75,5	-0,412
1,942	-75,5	-0,413
1,955	-76,5	-0,414
1,968	-76,5	-0,414
1,985	-77	-0,415
2	-77	-0,416
2,014	-77	-0,416
2,028	-77	-0,417
2,041	-78	-0,418
2,052	-79	-0,418
2,067	-79	-0,419
2,081	-79,5	-0,42
2,094	-79,5	-0,42
